Date,Price,Open,High,Low,Vol.,Change %,,,,Change %,Helper
7/24/2019,"1,452.80","1,440.40","1,452.80","1,439.80",354.72M,0.86%,,,,-0.85%,65
7/23/2019,"1,440.40","1,432.40","1,440.40","1,429.70",305.76M,0.56%,,,,0.35%,64
7/22/2019,"1,432.40","1,415.10","1,435.60","1,415.10",341.05M,1.22%,,,,0.39%,63
7/19/2019,"1,415.10","1,423.00","1,435.30","1,414.80",378.51M,-0.55%,,,,1.12%,62
7/18/2019,"1,423.00","1,411.70","1,424.30","1,408.20",339.29M,0.81%,,,,-0.48%,61
7/17/2019,"1,411.70","1,415.80","1,421.10","1,411.50",284.11M,-0.29%,,,,0.00%,60
7/16/2019,"1,415.80","1,428.80","1,428.80","1,413.00",328.89M,-0.91%,,,,0.71%,59
7/15/2019,"1,428.80","1,424.50","1,430.50","1,424.50",328.97M,0.30%,,,,1.08%,58
7/12/2019,"1,424.50","1,413.30","1,424.80","1,413.30",322.92M,0.80%,,,,0.64%,57
7/11/2019,"1,413.30","1,408.50","1,419.00","1,408.50",351.76M,0.34%,,,,0.87%,56
7/10/2019,"1,408.50","1,397.30","1,416.40","1,397.30",373.78M,0.80%,,,,-0.17%,55
7/9/2019,"1,397.30","1,392.90","1,398.20","1,384.80",345.16M,0.31%,,,,-0.06%,54
7/8/2019,"1,392.90","1,403.20","1,403.20","1,386.10",332.82M,-0.73%,,,,0.71%,53
7/5/2019,"1,403.20","1,405.90","1,405.90","1,389.50",265.53M,-0.19%,,,,0.57%,52
7/3/2019,"1,405.90","1,396.40","1,405.90","1,395.90",243.42M,0.68%,,,,0.30%,51
7/2/2019,"1,396.40","1,392.40","1,396.50","1,388.20",324.96M,0.29%,,,,0.04%,50
7/1/2019,"1,392.40","1,372.60","1,403.20","1,372.60",455.50M,1.45%,,,,0.74%,49
6/28/2019,"1,372.60","1,370.60","1,376.10","1,366.00",640.79M,0.14%,,,,0.02%,48
6/27/2019,"1,370.60","1,366.80","1,375.10","1,366.80",365.05M,0.28%,,,,-0.59%,47
6/26/2019,"1,366.80","1,352.00","1,376.10","1,352.00",460.62M,1.09%,,,,0.38%,46
6/25/2019,"1,352.00","1,377.30","1,378.20","1,350.70",379.60M,-1.84%,,,,1.73%,45
6/24/2019,"1,377.30","1,375.30","1,382.10","1,375.30",333.89M,0.15%,,,,-1.06%,44
