Date,Price,Open,High,Low,Vol.,Change %,,,,,Date,Price,Change %,Helper,Event Time
9/9/2019,967.99,968.12,970.98,965.17,252.12M,0.30%,,,,,11/11/2019,951.46,-0.27%,97,-49
9/6/2019,965.06,964.28,967.69,962.14,192.50M,0.21%,,,,,11/12/2019,950.7,-0.08%,96,-48
9/5/2019,963.01,953.85,964.25,953.85,242.26M,1.90%,,,,,11/13/2019,947.05,-0.38%,95,-47
9/4/2019,945.05,941.09,946.34,937.82,211.46M,0.86%,,,,,11/14/2019,950.36,0.35%,94,-46
9/3/2019,936.98,935.8,942.43,933.19,211.22M,-0.37%,,,,,11/15/2019,951.74,0.15%,93,-45
8/30/2019,940.47,948.83,949.23,937.21,206.95M,-0.56%,,,,,11/18/2019,954.93,0.34%,92,-44
8/29/2019,945.77,941.26,947.63,940.35,224.58M,1.48%,,,,,11/19/2019,945.67,-0.97%,91,-43
8/28/2019,932.02,919.71,932.82,917.89,216.74M,1.09%,,,,,11/20/2019,943,-0.28%,90,-42
8/27/2019,921.94,930.39,930.8,919.81,211.40M,-0.41%,,,,,11/21/2019,938.08,-0.52%,89,-41
8/26/2019,925.72,924.33,925.86,916.93,203.88M,1.02%,,,,,11/22/2019,944.15,0.65%,88,-40
8/23/2019,916.38,935.18,939.97,913.46,296.73M,-2.75%,,,,,11/25/2019,952.54,0.89%,87,-39
8/22/2019,942.34,945.21,947.64,936.48,250.79M,-0.06%,,,,,11/26/2019,960.24,0.81%,86,-38
8/21/2019,942.92,939.72,943.01,938.82,264.25M,1.83%,,,,,11/27/2019,968.21,0.83%,85,-37
8/20/2019,926,926.76,932.23,924.43,232.65M,-0.08%,,,,,11/29/2019,960.79,-0.77%,84,-36
8/19/2019,926.72,927.83,929.48,924.18,211.27M,1.25%,,,,,12/2/2019,953.48,-0.76%,83,-35
8/16/2019,915.32,911.34,917.14,909.46,199.72M,1.09%,,,,,12/3/2019,943.85,-1.01%,82,-34
8/15/2019,905.42,910.63,912.79,897.92,278.43M,-0.08%,,,,,12/4/2019,947.67,0.40%,81,-33
8/14/2019,906.1,922.24,922.24,905.39,328.39M,-3.14%,,,,,12/5/2019,945.56,-0.22%,80,-32
8/13/2019,935.46,918.13,942.91,916,236.89M,1.71%,,,,,12/6/2019,953.2,0.81%,79,-31
8/12/2019,919.71,926.92,927.77,916.26,142.48M,-1.43%,,,,,12/9/2019,953.89,0.07%,78,-30
8/9/2019,933.03,940.25,941.85,928.5,197.53M,-0.97%,,,,,12/10/2019,951.86,-0.21%,77,-29
8/8/2019,942.18,930.38,942.49,929.58,223.70M,1.98%,,,,,12/11/2019,954.67,0.30%,76,-28
8/7/2019,923.86,913.8,925.54,906.62,235.66M,0.31%,,,,,12/12/2019,963.02,0.87%,75,-27
8/6/2019,920.96,913.86,922.21,907.91,249.28M,1.46%,,,,,12/13/2019,963.4,0.04%,74,-26
8/5/2019,907.67,917.44,917.44,900.89,280.42M,-2.73%,,,,,12/16/2019,967.51,0.43%,73,-25
8/2/2019,933.12,937.97,939.13,929.08,242.58M,-0.91%,,,,,12/17/2019,972.84,0.55%,72,-24
