Date,Price,Open,High,Low,Vol.,Change %,,,Date,Price,Change %,Helper
10/15/2019,257.2,254.63,258.89,253.47,29.77M,1.14%,,,10/4/2019,249.25,1.54%,106
10/14/2019,254.3,252.53,254.75,251.86,19.72M,0.15%,,,10/7/2019,249.56,0.12%,105
10/11/2019,253.91,256.35,257.9,253.83,32.49M,0.33%,,,10/8/2019,249.19,-0.15%,104
10/10/2019,253.07,249.12,253.64,246.86,40.80M,0.02%,,,10/9/2019,253.02,1.54%,103
10/9/2019,253.02,251.4,254.88,251.4,28.27M,1.54%,,,10/10/2019,253.07,0.02%,102
10/8/2019,249.19,247.71,252.97,247.39,29.06M,-0.15%,,,10/11/2019,253.91,0.33%,101
10/7/2019,249.56,249.47,251.57,248.79,25.99M,0.12%,,,10/14/2019,254.3,0.15%,100
10/4/2019,249.25,245.66,249.49,245.07,26.35M,1.54%,,,10/15/2019,257.2,1.14%,99
10/3/2019,245.46,246.33,247.69,240.53,40.10M,-1.07%,,,10/16/2019,256.32,-0.34%,98
10/2/2019,248.12,253.73,254.29,243.18,48.68M,-3.91%,,,10/17/2019,256.94,0.24%,97
10/1/2019,258.22,262,265.16,257.16,27.83M,-0.87%,,,10/18/2019,257.54,0.23%,96
9/30/2019,260.48,262.63,263.31,259.8,21.54M,-0.39%,,,10/21/2019,260.34,1.09%,95
9/27/2019,261.51,264.03,266.72,260.86,20.43M,-0.64%,,,10/22/2019,260.01,-0.13%,94
9/26/2019,263.19,263.77,264.26,261.04,16.60M,-0.11%,,,10/23/2019,259.38,-0.24%,93
9/25/2019,263.48,262.4,265.04,261.48,18.93M,0.67%,,,10/24/2019,263.58,1.62%,92
9/24/2019,261.72,263.81,264.88,259.52,24.02M,-0.16%,,,10/25/2019,269.2,2.13%,91
9/23/2019,262.13,263.21,264.09,260.61,22.59M,-0.82%,,,10/28/2019,271.91,1.01%,90
9/20/2019,264.3,265.71,267.22,263.89,31.94M,-0.48%,,,10/29/2019,270.47,-0.53%,89
9/19/2019,265.58,268.53,268.53,265.34,21.66M,-1.21%,,,10/30/2019,270.18,-0.11%,88
9/18/2019,268.84,267.89,269.17,265.79,24.10M,0.24%,,,10/31/2019,267.68,-0.93%,87
9/17/2019,268.19,264.43,270.05,264.16,35.71M,0.82%,,,11/1/2019,270.52,1.06%,86
9/16/2019,266.02,267.72,267.92,261.63,39.29M,-2.05%,,,11/4/2019,273.53,1.11%,85
9/13/2019,271.6,271.41,273.31,270.61,26.80M,1.15%,,,11/5/2019,276.5,1.09%,84
9/12/2019,268.5,267.07,270.45,266.62,21.75M,0.65%,,,11/6/2019,276.58,0.03%,83
9/11/2019,266.76,263.48,266.97,261.43,30.67M,1.42%,,,11/7/2019,277.16,0.21%,82
9/10/2019,263.03,260.85,263.07,259.97,22.89M,0.76%,,,11/8/2019,276.66,-0.18%,81
9/9/2019,261.05,257.71,261.94,256.46,29.26M,1.21%,,,11/11/2019,276.49,-0.06%,80
9/6/2019,257.94,260.28,261.66,257.57,22.67M,-0.17%,,,11/12/2019,273.7,-1.01%,79
9/5/2019,258.37,256.23,261.13,256.23,24.34M,1.75%,,,11/13/2019,271.56,-0.78%,78
9/4/2019,253.92,253.26,254.93,250.81,30.46M,0.60%,,,11/14/2019,271.77,0.08%,77
9/3/2019,252.4,252.88,254.56,249.97,26.56M,-0.98%,,,11/15/2019,272.59,0.30%,76
8/30/2019,254.9,256.33,258.55,254.02,20.46M,-0.13%,,,11/18/2019,272.52,-0.03%,75
8/29/2019,255.23,251.44,255.96,251.44,25.32M,2.48%,,,11/19/2019,273.29,0.28%,74
8/28/2019,249.06,244.78,250.7,244.48,27.09M,1.31%,,,11/20/2019,267.68,-2.05%,73
8/27/2019,245.84,250.44,250.44,244.28,27.75M,-1.13%,,,11/21/2019,265.67,-0.75%,72
8/26/2019,248.66,250.66,250.68,247.02,23.70M,0.25%,,,11/22/2019,269.1,1.29%,71
8/23/2019,248.05,253.96,256.2,247.14,29.27M,-2.84%,,,11/25/2019,271.21,0.78%,70
8/22/2019,255.3,254.97,256.52,253.13,18.78M,0.34%,,,11/26/2019,273.15,0.72%,69
8/21/2019,254.43,253.38,255.77,253.29,17.35M,0.94%,,,11/27/2019,272.82,-0.12%,68
8/20/2019,252.06,253.42,253.42,251.23,19.11M,-0.82%,,,11/29/2019,272.56,-0.10%,67
8/19/2019,254.14,255.09,257.08,254.04,21.77M,0.81%,,,12/2/2019,269.18,-1.24%,66
8/16/2019,252.1,248.65,253.17,248.33,22.52M,2.09%,,,12/3/2019,263.39,-2.15%,65
8/15/2019,246.94,249.7,250.11,245.91,26.16M,-0.78%,,,12/4/2019,264.03,0.24%,64
8/14/2019,248.87,252.84,252.99,246.53,32.41M,-2.97%,,,12/5/2019,263.18,-0.32%,63
8/13/2019,256.49,255.34,261.61,254.5,29.98M,-0.23%,,,12/6/2019,265.35,0.82%,62
8/12/2019,257.09,259.84,259.84,255.29,18.62M,-1.94%,,,12/9/2019,263.3,-0.77%,61
8/9/2019,262.18,262.74,264.2,260.47,18.58M,-0.74%,,,12/10/2019,260.92,-0.90%,60
8/8/2019,264.14,262.43,265.56,261.62,20.71M,1.36%,,,12/11/2019,259.02,-0.73%,59
8/7/2019,260.6,256.73,261.86,253.79,25.09M,0.77%,,,12/12/2019,263.96,1.91%,58
8/6/2019,258.61,258.41,258.98,256.27,21.20M,0.98%,,,12/13/2019,262.64,-0.50%,57
8/5/2019,256.1,261.36,261.39,253,34.90M,-3.38%,,,12/16/2019,266.99,1.66%,56
8/2/2019,265.07,265.65,266.32,263.27,20.82M,-0.64%,,,12/17/2019,268.82,0.69%,55
8/1/2019,266.77,270.52,273.11,264.31,28.62M,-1.22%,,,12/18/2019,266.84,-0.74%,54
7/31/2019,270.06,274.83,274.93,268.88,28.27M,-1.85%,,,12/19/2019,269.26,0.91%,53
7/30/2019,275.16,273.78,275.29,272.29,19.03M,0.02%,,,12/20/2019,270.5,0.46%,52
7/29/2019,275.1,275.06,277,274.18,27.56M,-0.32%,,,12/23/2019,272.16,0.61%,51
7/26/2019,275.99,278.86,279.55,275.68,28.04M,-0.82%,,,12/24/2019,271.37,-0.29%,50
7/25/2019,278.27,281.28,283.42,276.5,49.73M,-2.48%,,,12/26/2019,272.04,0.25%,49
7/24/2019,285.36,281.71,286.51,281.29,26.85M,0.82%,,,12/27/2019,268.48,-1.31%,48
7/23/2019,283.05,276.95,283.31,276.24,28.20M,2.47%,,,12/30/2019,266.74,-0.65%,47
7/22/2019,276.22,276.37,278.23,275.86,22.85M,0.47%,,,12/31/2019,266.88,0.05%,46
7/19/2019,274.93,280.38,282.02,274.84,24.60M,-1.80%,,,1/2/2020,270.32,1.29%,45
7/18/2019,279.98,277.83,280.22,276.12,18.23M,0.66%,,,1/3/2020,265.17,-1.91%,44
7/17/2019,278.14,281.84,281.91,278.04,29.20M,-1.37%,,,1/6/2020,263.77,-0.53%,43
7/16/2019,281.99,276.2,283.06,276.08,32.54M,2.36%,,,1/7/2020,262.97,-0.30%,42
7/15/2019,275.48,276.03,278.65,274.95,20.65M,-0.25%,,,1/8/2020,266.02,1.16%,41
7/12/2019,276.18,271.93,277.3,271.25,26.52M,1.79%,,,1/9/2020,266.71,0.26%,40
7/11/2019,271.31,272.01,272.91,270.07,30.12M,0.39%,,,1/10/2020,265.55,-0.43%,39
7/10/2019,270.25,270.1,272.65,268.34,26.70M,0.52%,,,1/13/2020,265.71,0.06%,38
7/9/2019,268.85,270.82,272.64,267.5,26.33M,-1.09%,,,1/14/2020,269.8,1.54%,37
7/8/2019,271.8,269.14,272.91,269.04,22.91M,0.78%,,,1/15/2020,271.2,0.52%,36
7/5/2019,269.69,269.78,271.23,266.21,16.80M,-0.27%,,,1/16/2020,273.92,1.00%,35
7/3/2019,270.41,268.74,272.13,268.13,13.86M,1.37%,,,1/17/2020,274.27,0.13%,34
7/2/2019,266.75,268.37,270.21,265.05,22.72M,0.15%,,,1/21/2020,265.85,-3.07%,33
7/1/2019,266.35,265.79,268.44,264.39,26.33M,1.27%,,,1/22/2020,264.47,-0.52%,32
6/28/2019,263.02,262.07,264.36,261.89,33.78M,0.61%,,,1/23/2020,271.41,2.62%,31
6/27/2019,261.42,259.37,263.55,259.25,21.82M,1.02%,,,1/24/2020,267.35,-1.50%,30
6/26/2019,258.77,259.42,260.22,257.19,19.89M,0.15%,,,1/27/2020,259.25,-3.03%,29
6/25/2019,258.37,260.62,262.55,258.21,22.07M,-0.83%,,,1/28/2020,262.74,1.35%,28
6/24/2019,260.52,260.89,261.21,259.31,21.34M,0.07%,,,1/29/2020,259.63,-1.18%,27
6/21/2019,260.33,260.95,264.63,259.9,32.76M,-0.44%,,,1/30/2020,261.36,0.67%,26
6/20/2019,261.48,266.94,266.94,259.62,27.16M,-1.26%,,,1/31/2020,255.04,-2.42%,25
6/19/2019,264.83,264.45,265.57,263.15,19.04M,0.47%,,,2/3/2020,256.34,0.51%,24
6/18/2019,263.58,262.99,266.75,261.97,17.41M,0.60%,,,2/4/2020,263.93,2.96%,23
6/17/2019,262,262.58,263.68,261.34,17.22M,-0.66%,,,2/5/2020,269.57,2.14%,22
6/14/2019,263.73,265.57,266.68,261.85,20.34M,-0.71%,,,2/6/2020,266.43,-1.16%,21
6/13/2019,265.62,259.01,267.8,259.01,33.28M,3.05%,,,2/7/2020,265.01,-0.53%,20
6/12/2019,257.76,255.77,258.59,255.38,19.31M,0.91%,,,2/10/2020,265.32,0.12%,19
6/11/2019,255.43,256.35,258.06,253.74,18.83M,0.46%,,,2/11/2020,269.28,1.49%,18
6/10/2019,254.25,257.19,259.68,254.05,17.21M,-0.42%,,,2/12/2020,273.5,1.57%,17
6/7/2019,255.31,254.67,258.8,254.67,17.99M,0.67%,,,2/13/2020,272.8,-0.26%,16
6/6/2019,253.6,254.88,255.92,251.67,22.46M,-0.20%,,,2/14/2020,269.69,-1.14%,15
6/5/2019,254.12,251.8,254.43,250.31,27.68M,1.98%,,,2/18/2020,268.44,-0.46%,14
6/4/2019,249.18,242.94,249.44,242.83,32.46M,3.86%,,,2/19/2020,266.13,-0.86%,13
6/3/2019,239.93,238.07,242.89,237.8,25.79M,0.64%,,,2/20/2020,266.24,0.04%,12
5/31/2019,238.41,242.4,243.6,237.69,28.18M,-2.72%,,,2/21/2020,263.17,-1.15%,11
5/30/2019,245.07,246.07,247.7,243.89,18.88M,-0.21%,,,2/24/2020,249.07,-5.36%,10
5/29/2019,245.58,247.72,247.72,243.67,22.82M,-0.98%,,,2/25/2020,231.52,-7.05%,9
5/28/2019,248.01,250.13,251.27,247.92,23.54M,-1.18%,,,2/26/2020,224.2,-3.16%,8
5/24/2019,250.98,252.93,254.04,249.74,16.90M,-0.19%,,,2/27/2020,214.15,-4.48%,7
5/23/2019,251.46,251.97,253.99,249.3,30.52M,-1.03%,,,2/28/2020,206.26,-3.68%,6
5/22/2019,254.08,257.89,258.55,253.66,23.48M,-1.91%,,,3/2/2020,207.83,0.76%,5
5/21/2019,259.03,256.89,259.52,256.78,18.66M,1.64%,,,3/3/2020,200.12,-3.71%,4
5/20/2019,254.85,253.89,256.77,253.08,20.24M,-0.86%,,,3/4/2020,208.11,3.99%,3
5/17/2019,257.06,257.26,260.57,256.5,17.87M,-0.96%,,,3/5/2020,190.29,-8.56%,2
5/16/2019,259.56,258.3,262.43,257.95,18.47M,0.69%,,,3/6/2020,192.95,1.40%,1
5/15/2019,257.78,255.44,259.43,253.31,19.69M,-0.25%,,,,,,
5/14/2019,258.43,255.71,259.92,255.38,17.47M,1.22%,,,,,,
5/13/2019,255.32,258.77,258.77,253.38,25.95M,-3.42%,,,,,,
5/10/2019,264.37,261.28,265.37,256.16,20.05M,0.41%,,,,,,
5/9/2019,263.28,261.02,263.46,258.81,20.04M,-0.03%,,,,,,
5/8/2019,263.36,263.79,266.19,262.2,18.23M,-0.72%,,,,,,
5/7/2019,265.27,267.54,267.66,261.61,24.59M,-1.80%,,,,,,
5/6/2019,270.13,266.87,270.72,265.96,16.31M,-0.34%,,,,,,
5/3/2019,271.05,270.36,272.25,269.89,17.65M,0.56%,,,,,,
5/2/2019,269.55,269.48,273.27,269.24,19.93M,0.16%,,,,,,
5/1/2019,269.13,272.57,273.34,268.89,24.02M,-1.09%,,,,,,
4/30/2019,272.1,270.71,273.79,269.66,24.83M,0.76%,,,,,,
4/29/2019,270.04,266.93,270.57,266.26,23.15M,1.42%,,,,,,
4/26/2019,266.25,263.58,268.35,263.58,28.63M,0.33%,,,,,,
4/25/2019,265.37,268.68,272.27,263.87,34.67M,-1.33%,,,,,,
4/24/2019,268.96,268.87,270.83,267.55,25.53M,0.09%,,,,,,
4/23/2019,268.71,265.24,269.86,264.98,30.17M,1.40%,,,,,,
4/22/2019,265.01,266.36,266.75,264.27,20.48M,-1.12%,,,,,,
4/18/2019,268,269.42,269.73,266.25,19.31M,-0.55%,,,,,,
4/17/2019,269.48,269.48,271.49,267.25,23.14M,1.19%,,,,,,
4/16/2019,266.3,264.75,266.77,263.98,19.92M,0.91%,,,,,,
4/15/2019,263.91,267.42,267.45,263.73,23.42M,-1.39%,,,,,,
4/12/2019,267.62,269.69,270.46,266.08,27.41M,-0.22%,,,,,,
4/11/2019,268.2,265.36,270.18,265.36,32.52M,1.15%,,,,,,
4/10/2019,265.15,263.62,266.48,260.53,42.67M,1.57%,,,,,,
4/9/2019,261.06,261.2,262.03,259.47,28.56M,-0.87%,,,,,,
4/8/2019,263.35,263.95,264.24,261.42,28.71M,-0.74%,,,,,,
4/5/2019,265.3,264.44,266.67,264.27,22.52M,0.53%,,,,,,
4/4/2019,263.91,263.7,264.63,259.98,27.73M,0.39%,,,,,,
4/3/2019,262.88,260.65,265.04,260.65,37.10M,1.56%,,,,,,
4/2/2019,258.83,258.26,261.6,255.36,42.15M,2.83%,,,,,,
4/1/2019,251.7,249.92,253.88,248.72,32.52M,1.24%,,,,,,
3/29/2019,248.61,244.19,249.17,243.08,31.97M,2.36%,,,,,,
3/28/2019,242.87,242.19,244.3,240.54,29.74M,0.45%,,,,,,
3/27/2019,241.77,237.04,243.76,236.75,36.45M,1.92%,,,,,,
3/26/2019,237.22,238.73,239.98,235.78,23.63M,0.08%,,,,,,
3/25/2019,237.02,240.16,241.25,236.88,29.60M,-1.48%,,,,,,
3/22/2019,240.58,244.04,244.77,240.26,29.69M,-1.98%,,,,,,
3/21/2019,245.43,242.17,246.71,242.13,27.36M,1.32%,,,,,,
3/20/2019,242.24,246.53,246.73,241.57,31.54M,-1.97%,,,,,,
3/19/2019,247.12,247.21,249.57,246.21,24.69M,0.27%,,,,,,
3/18/2019,246.46,248.18,248.48,245.76,27.84M,-0.73%,,,,,,
3/15/2019,248.28,248.79,249.9,247.94,40.53M,-0.02%,,,,,,
3/14/2019,248.33,248.5,251.35,247.54,31.89M,0.31%,,,,,,
3/13/2019,247.56,245.49,248,241.61,49.96M,1.43%,,,,,,
3/12/2019,244.08,249.37,249.37,242.42,46.36M,-2.00%,,,,,,
3/11/2019,249.05,244,249.27,244,38.64M,1.08%,,,,,,
