Date,Price,Open,High,Low,Vol.,Change %,,,,Date,Price,Change %,Fake Time ,,Helper 
10/8/2019,"2,893.06","2,920.40","2,925.47","2,892.66",,-1.56%,,,,12/9/2019,"3,135.96",-0.32%,382,,155
10/7/2019,"2,938.79","2,944.23","2,959.75","2,935.68",,-0.45%,,,,12/10/2019,"3,132.52",-0.11%,383,,154
10/4/2019,"2,952.01","2,918.56","2,953.74","2,918.56",,1.42%,,,,12/11/2019,"3,141.63",0.29%,384,,153
10/3/2019,"2,910.63","2,885.38","2,911.13","2,855.94",,0.80%,,,,12/12/2019,"3,168.57",0.86%,385,,152
10/2/2019,"2,887.61","2,924.78","2,924.78","2,874.93",,-1.79%,,,,12/13/2019,"3,168.80",0.01%,386,,151
10/1/2019,"2,940.25","2,983.69","2,992.53","2,938.70",,-1.23%,,,,12/16/2019,"3,191.45",0.71%,387,,150
9/30/2019,"2,976.74","2,967.07","2,983.85","2,967.07",,0.50%,,,,12/17/2019,"3,192.52",0.03%,388,,149
9/27/2019,"2,961.79","2,985.47","2,987.31","2,945.53",,-0.53%,,,,12/18/2019,"3,191.14",-0.04%,389,,148
9/26/2019,"2,977.62","2,985.73","2,987.28","2,963.71",,-0.24%,,,,12/19/2019,"3,205.37",0.45%,390,,147
9/25/2019,"2,984.87","2,968.35","2,989.82","2,952.86",,0.62%,,,,12/20/2019,"3,221.22",0.49%,391,,146
9/24/2019,"2,966.60","3,002.43","3,007.98","2,957.73",,-0.84%,,,,12/23/2019,"3,224.01",0.09%,392,,145
9/23/2019,"2,991.78","2,983.50","2,999.15","2,982.23",,-0.01%,,,,12/24/2019,"3,223.38",-0.02%,393,,144
9/20/2019,"2,992.07","3,008.42","3,016.37","2,984.68",,-0.49%,,,,12/26/2019,"3,239.91",0.51%,394,,143
9/19/2019,"3,006.79","3,010.36","3,021.99","3,003.16",,0.00%,,,,12/27/2019,"3,240.02",0.00%,395,,142
9/18/2019,"3,006.73","3,001.50","3,007.83","2,978.57",,0.03%,,,,12/30/2019,"3,221.29",-0.58%,396,,141
9/17/2019,"3,005.70","2,995.67","3,006.21","2,993.73",,0.26%,,,,12/31/2019,"3,230.78",0.29%,397,,140
9/16/2019,"2,997.96","2,996.41","3,002.19","2,990.67",,-0.31%,,,,1/2/2020,"3,257.85",0.84%,398,,139
9/13/2019,"3,007.39","3,012.21","3,017.33","3,002.90",,-0.07%,,,,1/3/2020,"3,234.85",-0.71%,399,,138
9/12/2019,"3,009.57","3,009.08","3,020.74","3,000.92",,0.29%,,,,1/6/2020,"3,246.28",0.35%,400,,137
9/11/2019,"3,000.93","2,981.41","3,000.93","2,975.31",,0.72%,,,,1/7/2020,"3,237.18",-0.28%,401,,136
9/10/2019,"2,979.39","2,971.01","2,979.39","2,957.01",,0.03%,,,,1/8/2020,"3,253.05",0.49%,402,,135
9/9/2019,"2,978.43","2,988.43","2,989.43","2,969.39",,-0.01%,,,,1/9/2020,"3,274.70",0.67%,403,,134
9/6/2019,"2,978.71","2,980.33","2,985.03","2,972.51",,0.09%,,,,1/10/2020,"3,265.35",-0.29%,404,,133
9/5/2019,"2,976.00","2,960.60","2,985.86","2,960.60",,1.30%,,,,1/13/2020,"3,288.13",0.70%,405,,132
9/4/2019,"2,937.78","2,924.67","2,938.84","2,921.86",,1.08%,,,,1/14/2020,"3,283.15",-0.15%,406,,131
9/3/2019,"2,906.27","2,909.01","2,914.39","2,891.85",,-0.69%,,,,1/15/2020,"3,289.29",0.19%,407,,130
8/30/2019,"2,926.46","2,937.09","2,940.43","2,913.32",,0.06%,,,,1/16/2020,"3,316.81",0.84%,408,,129
8/29/2019,"2,924.58","2,910.37","2,930.50","2,905.67",,1.27%,,,,1/17/2020,"3,329.62",0.39%,409,,128
8/28/2019,"2,887.94","2,861.28","2,890.03","2,853.05",,0.65%,,,,1/21/2020,"3,320.79",-0.27%,410,,127
8/27/2019,"2,869.16","2,893.14","2,898.79","2,860.59",,-0.32%,,,,1/22/2020,"3,321.75",0.03%,411,,126
8/26/2019,"2,878.38","2,866.70","2,879.27","2,856.00",,1.10%,,,,1/23/2020,"3,325.54",0.11%,412,,125
8/23/2019,"2,847.11","2,911.07","2,927.01","2,834.97",,-2.59%,,,,1/24/2020,"3,295.47",-0.90%,413,,124
8/22/2019,"2,922.95","2,930.94","2,939.08","2,904.51",,-0.05%,,,,1/27/2020,"3,243.63",-1.57%,414,,123
8/21/2019,"2,924.43","2,922.04","2,928.73","2,917.91",,0.82%,,,,1/28/2020,"3,276.24",1.01%,415,,122
8/20/2019,"2,900.51","2,919.01","2,923.63","2,899.60",,-0.79%,,,,1/29/2020,"3,273.40",-0.09%,416,,121
