Date,Price,Open,High,Low,Vol.,Change %,,,Date,Price,Change %,Helper
8/26/2019,344.55,345.89,346.8,343.1,73.24M,0.29%,,,11/22/2019,371.93,0.15%,71
8/23/2019,343.54,351.11,352.01,341.96,96.62M,-2.44%,,,11/25/2019,374.24,0.62%,70
8/22/2019,352.12,355.42,356.8,351.45,64.53M,-0.70%,,,11/26/2019,376.2,0.52%,69
8/21/2019,354.6,355.16,356.06,354.02,62.88M,0.53%,,,11/27/2019,376.96,0.20%,68
8/20/2019,352.74,355.75,355.75,352.55,67.15M,-1.22%,,,11/29/2019,375.24,-0.46%,67
8/19/2019,357.08,356.06,358.42,356.06,63.81M,0.77%,,,12/2/2019,371.7,-0.94%,66
8/16/2019,354.34,349.17,355.03,349.12,69.22M,1.76%,,,12/3/2019,369.22,-0.67%,65
8/15/2019,348.22,349.05,349.88,345.61,83.95M,-0.01%,,,12/4/2019,369.07,-0.04%,64
8/14/2019,348.25,357.05,357.05,347.87,101.92M,-3.26%,,,12/5/2019,371.5,0.66%,63
8/13/2019,359.97,356.17,364.19,354.28,98.43M,1.13%,,,12/6/2019,375.29,1.02%,62
8/12/2019,355.94,361.47,361.47,355.32,49.78M,-1.58%,,,12/9/2019,374.82,-0.13%,61
8/9/2019,361.64,363.13,363.46,359.67,74.94M,-0.71%,,,12/10/2019,372.62,-0.59%,60
8/8/2019,364.21,358.29,364.46,358.29,94.46M,1.89%,,,12/11/2019,375.27,0.71%,59
8/7/2019,357.46,351.31,357.96,349.73,99.33M,1.32%,,,12/12/2019,380.66,1.44%,58
8/6/2019,352.8,352.71,353.1,348.49,110.18M,0.08%,,,12/13/2019,377.56,-0.81%,57
8/5/2019,352.51,357.8,357.8,349.86,103.38M,-1.82%,,,12/16/2019,379.33,0.47%,56
8/2/2019,359.06,361.79,361.92,356.58,91.92M,-1.21%,,,12/17/2019,380.02,0.18%,55
8/1/2019,363.47,364.79,370.56,361.82,111.33M,-0.57%,,,12/18/2019,379.11,-0.24%,54
7/31/2019,365.54,370.63,371.8,362.4,96.03M,-1.48%,,,12/19/2019,380.36,0.33%,53
7/30/2019,371.05,366.25,371.46,365.34,70.69M,0.59%,,,12/20/2019,382.07,0.45%,52
7/29/2019,368.87,369.65,369.65,367.76,62.35M,-0.34%,,,12/23/2019,383.65,0.41%,51
7/26/2019,370.11,369.19,370.24,366.63,67.94M,0.04%,,,12/24/2019,383.91,0.07%,50
