Date,Price,Open,High,Low,Vol.,Change %,,,,,Change %,Helper
10/15/2019,"1,058.45","1,043.58","1,062.40","1,043.58",152.73M,1.76%,,,,,1.01%,123
10/14/2019,"1,040.14","1,040.76","1,044.86","1,038.60",102.56M,-0.03%,,,,,-0.12%,122
10/11/2019,"1,040.49","1,040.13","1,052.47","1,040.12",155.93M,0.80%,,,,,-0.07%,121
10/10/2019,"1,032.22","1,024.16","1,035.85","1,023.72",149.85M,0.51%,,,,,-0.23%,120
10/9/2019,"1,026.94","1,025.71","1,030.26","1,022.80",127.08M,0.69%,,,,,0.14%,119
10/8/2019,"1,019.95","1,032.53","1,032.83","1,019.86",171.86M,-1.83%,,,,,0.01%,118
10/7/2019,"1,038.97","1,040.54","1,046.35","1,037.57",121.30M,-0.43%,,,,,0.47%,117
10/4/2019,"1,043.45","1,029.42","1,043.85","1,029.42",134.34M,1.59%,,,,,0.60%,116
10/3/2019,"1,027.12","1,016.55","1,027.32","1,009.42",150.44M,0.93%,,,,,-0.61%,115
10/2/2019,"1,017.63","1,029.79","1,031.81","1,013.79",226.63M,-1.52%,,,,,-0.91%,114
10/1/2019,"1,033.33","1,045.50","1,048.30","1,031.21",168.57M,-0.96%,,,,,-0.48%,113
9/30/2019,"1,043.37","1,034.86","1,049.74","1,034.86",175.22M,0.90%,,,,,-0.63%,112
9/27/2019,"1,034.11","1,041.34","1,043.59","1,030.40",164.74M,-0.42%,,,,,-0.42%,111
9/26/2019,"1,038.47","1,047.48","1,047.98","1,031.19",168.38M,-0.63%,,,,,0.90%,110
9/25/2019,"1,045.04","1,049.23","1,050.25","1,043.71",140.05M,-0.48%,,,,,-0.96%,109
9/24/2019,"1,050.10","1,063.35","1,064.26","1,046.64",178.75M,-0.91%,,,,,-1.52%,108
9/23/2019,"1,059.70","1,063.23","1,064.52","1,059.50",146.95M,-0.61%,,,,,0.93%,107
9/20/2019,"1,066.20","1,060.45","1,070.37","1,060.45",308.01M,0.60%,,,,,1.59%,106
9/19/2019,"1,059.81","1,055.15","1,064.12","1,054.90",136.87M,0.47%,,,,,-0.43%,105
9/18/2019,"1,054.84","1,054.15","1,055.91","1,047.13",138.85M,0.01%,,,,,-1.83%,104
9/17/2019,"1,054.78","1,052.59","1,057.54","1,051.57",149.50M,0.14%,,,,,0.69%,103
9/16/2019,"1,053.26","1,052.49","1,055.69","1,048.67",128.03M,-0.23%,,,,,0.51%,102
9/13/2019,"1,055.71","1,057.95","1,063.42","1,053.28",162.28M,-0.07%,,,,,0.80%,101
9/12/2019,"1,056.44","1,061.99","1,066.10","1,056.27",171.41M,-0.12%,,,,,-0.03%,100
9/11/2019,"1,057.71","1,047.94","1,057.71","1,046.37",168.62M,1.01%,,,,,1.76%,99
9/10/2019,"1,047.12","1,041.97","1,047.12","1,027.66",230.31M,0.29%,,,,,-0.12%,98
9/9/2019,"1,044.07","1,053.82","1,054.61","1,040.19",185.01M,-0.92%,,,,,0.76%,97
9/6/2019,"1,053.74","1,052.62","1,056.60","1,051.69",156.24M,0.31%,,,,,-0.34%,96
9/5/2019,"1,050.46","1,047.00","1,052.97","1,043.90",152.93M,0.98%,,,,,-0.07%,95
9/4/2019,"1,040.31","1,045.16","1,047.41","1,035.87",151.27M,0.01%,,,,,0.17%,94
9/3/2019,"1,040.16","1,041.90","1,044.85","1,036.40",168.04M,-0.63%,,,,,0.63%,93
8/30/2019,"1,046.74","1,048.73","1,051.34","1,041.59",149.67M,0.17%,,,,,-0.60%,92
